Pos,team_id,Club,MP,W,D,L,GF,GA,GD,Pts,Last 5
1,19,Manchester City,38,23,9,6,78,52,26,78,WWWWW
2,1,Arsenal FC,38,21,9,8,76,55,21,72,DWLDW
3,10,Manchester United,38,17,9,12,71,63,8,60,WLLWD
4,3,Liverpool FC,38,17,9,12,71,63,8,60,LDWLL
5,24,AFC Bournemouth,38,17,9,12,71,63,8,60,WWLWD
6,27,Brighton & Hove Albion,38,16,9,13,70,65,5,57,DLLLW
7,2,Aston Villa,38,16,9,13,69,65,4,57,WWLWW
8,32,Brentford FC,38,15,9,14,68,67,1,54,LLWWW
9,15,Chelsea FC,38,14,9,15,68,67,1,51,WWLLL
10,20,Newcastle United,38,14,9,15,67,67,0,51,LDWWW
11,33,Nottingham Forest,38,14,9,15,67,67,0,51,LDWLW
12,8,Fulham FC,38,14,9,15,67,68,-1,51,WLLWL
13,31,Leeds United,38,14,9,15,67,68,-1,51,WWDLL
14,6,Everton FC,38,13,9,16,65,69,-4,48,LLWWL
15,17,Crystal Palace,38,13,9,16,65,69,-4,48,LWDDW
16,18,Tottenham Hotspur,38,13,9,16,65,70,-5,48,LDLLD
17,7,Sunderland AFC,38,11,9,18,62,72,-10,42,LLLWW
18,36,Coventry City,38,10,9,19,60,74,-14,39,LLWLD
19,35,Ipswich Town,38,8,9,21,56,76,-20,33,WLLWW
20,16,Hull City,38,7,9,22,54,77,-23,30,WLWLW
